AÑO,ENTIDAD_FEDERATIVA,EMBARCACIONES_(NUMERO),
1989,Baja California,2487,23700
1989,Baja California Sur,2258,
1989,Jalisco,2594,
1989,Oaxaca,2702,
1989,Nayarit,2003,
1989,Sinaloa,8209,
1989,Sonora,3447,
1990,Baja California,2515,23726
1990,Baja California Sur,2265,
1990,Jalisco,2628,
1990,Oaxaca,2714,
1990,Nayarit,2042,
1990,Sinaloa,8077,
1990,Sonora,3485,
1991,Baja California,2503,23690
1991,Baja California Sur,2259,
1991,Jalisco,2634,
1991,Oaxaca,2715,
1991,Nayarit,2035,
1991,Sinaloa,8074,
1991,Sonora,3470,
1992,Baja California,2460,
1992,Baja California Sur,2326,
1992,Jalisco,2696,
1992,Oaxaca,2676,
1992,Nayarit,2004,
1992,Sinaloa,8163,
1992,Sonora,3534,
1993,Baja California,2464,
1993,Baja California Sur,2329,
1993,Jalisco,2700,
1993,Oaxaca,2679,
1993,Nayarit,2005,
1993,Sinaloa,8176,
1993,Sonora,3544,
1994,Baja California,2479,
1994,Baja California Sur,2348,
1994,Jalisco,2714,
1994,Oaxaca,2694,
1994,Nayarit,2001,
1994,Sinaloa,8178,
1994,Sonora,3588,
1995,Baja California,2443,25260
1995,Baja California Sur,3704,
1995,Jalisco,2477,
1995,Oaxaca,2743,
1995,Nayarit,1794,
1995,Sinaloa,10105,
1995,Sonora,1994,
1996,Baja California,1992,24640
1996,Baja California Sur,4429,
1996,Jalisco,2402,
1996,Oaxaca,2787,
1996,Nayarit,2277,
1996,Sinaloa,7395,
1996,Sonora,3358,
1997,Baja California,1773,35349
1997,Baja California Sur,3700,
1997,Jalisco,ND,
1997,Oaxaca,5201,
1997,Nayarit,4460,
1997,Sinaloa,12420,
1997,Sonora,7795,
1998,Baja California,1777,38295
1998,Baja California Sur,3698,
1998,Jalisco,2938,
1998,Oaxaca,5201,
1998,Nayarit,4460,
1998,Sinaloa,12424,
1998,Sonora,7797,
1999,Baja California,1777,35357
1999,Baja California Sur,3698,
1999,Jalisco,ND,
1999,Oaxaca,5201,
1999,Nayarit,4460,
1999,Sinaloa,12424,
1999,Sonora,7797,
2000,Baja California,1842,38698
2000,Baja California Sur,3694,
2000,Jalisco,2938,
2000,Oaxaca,5209,
2000,Nayarit,4468,
2000,Sinaloa,12634,
2000,Sonora,7913,
2001,Baja California,1836,38732
2001,Baja California Sur,3701,
2001,Jalisco,2939,
2001,Oaxaca,5200,
2001,Nayarit,4468,
2001,Sinaloa,12663,
2001,Sonora,7925,
2002,Baja California,1842,38739
2002,Baja California Sur,3696,
2002,Jalisco,2939,
2002,Oaxaca,5199,
2002,Nayarit,4470,
2002,Sinaloa,12668,
2002,Sonora,7925,
2003,Baja California,1843,38750
2003,Baja California Sur,3698,
2003,Jalisco,2939,
2003,Oaxaca,5198,
2003,Nayarit,4471,
2003,Sinaloa,12685,
2003,Sonora,7916,
2004,Baja California,1845,38749
2004,Baja California Sur,3694,
2004,Jalisco,2939,
2004,Oaxaca,5198,
2004,Nayarit,4471,
2004,Sinaloa,12683,
2004,Sonora,7919,
2005,Baja California,1857,38659
2005,Baja California Sur,3696,
2005,Jalisco,2939,
2005,Oaxaca,5192,
2005,Nayarit,4470,
2005,Sinaloa,12649,
2005,Sonora,7856,
2006,Baja California,1863,38655
2006,Baja California Sur,3694,
2006,Jalisco,2939,
2006,Oaxaca,5183,
2006,Nayarit,4471,
2006,Sinaloa,12675,
2006,Sonora,7830,
2007,Baja California,1863,38626
2007,Baja California Sur,3694,
2007,Jalisco,2939,
2007,Oaxaca,5180,
2007,Nayarit,4471,
2007,Sinaloa,12660,
2007,Sonora,7819,
2008,Baja California,1863,35561
2008,Baja California Sur,3694,
2008,Jalisco,2939,
2008,Oaxaca,2115,
2008,Nayarit,4471,
2008,Sinaloa,12660,
2008,Sonora,7819,
2009,Baja California,1863,38557
2009,Baja California Sur,3694,
2009,Jalisco,2939,
2009,Oaxaca,5174,
2009,Nayarit,4469,
2009,Sinaloa,12626,
2009,Sonora,7792,
2010,Baja California,1718,34495
2010,Baja California Sur,3338,
2010,Jalisco,2939,
2010,Oaxaca,5169,
2010,Nayarit,3302,
2010,Sinaloa,12590,
2010,Sonora,5439,
2011,Baja California,1964,29638
2011,Baja California Sur,3000,
2011,Jalisco,2939,
2011,Oaxaca,5166,
2011,Nayarit,3302,
2011,Sinaloa,9936,
2011,Sonora,3331,
2012,Baja California,2084,27014
2012,Baja California Sur,3591,
2012,Jalisco,3626,
2012,Oaxaca,1988,
2012,Nayarit,1877,
2012,Sinaloa,9260,
2012,Sonora,4588,
2013,Baja California,1544,29161
2013,Baja California Sur,2507,
2013,Jalisco,4789,
2013,Oaxaca,1902,
2013,Nayarit,2966,
2013,Sinaloa,11744,
2013,Sonora,3709,
2014,Baja California,2007,30380
2014,Baja California Sur,3258,
2014,Jalisco,5028,
2014,Oaxaca,2028,
2014,Nayarit,2483,
2014,Sinaloa,11309,
2014,Sonora,4267,
2015,Baja California,1895,29653
2015,Baja California Sur,2981,
2015,Jalisco,5179,
2015,Oaxaca,1985,
2015,Nayarit,2450,
2015,Sinaloa,10670,
2015,Sonora,4493,
2016,Baja California,1908,29443
2016,Baja California Sur,2994,
2016,Jalisco,5138,
2016,Oaxaca,1979,
2016,Nayarit,2120,
2016,Sinaloa,10720,
2016,Sonora,4584,
2017,Baja California,2036,30110
2017,Baja California Sur,2988,
2017,Jalisco,4437,
2017,Oaxaca,1979,
2017,Nayarit,2122,
2017,Sinaloa,11260,
2017,Sonora,5288,
